status,Blankets_Creek,Rope_Mill
all trails are closed due to wet conditions  ,0,0
all trails are closed due to freeze/thaw conditions,0,0
all trails are closed at blankets creek and rope mill due to freeze/thaw soil conditions,0,0
all trails are open yippie!!,1,1
blankets creek is closed rope mill is open,0,1
blankets creek is closed  rope mill is open ,0,1
all trails are closed due to rainy conditions,0,0
all trails are open blankets creek will be closed for a race on saturday 9/5 until 4pm,1,1
all trails are open at blankets creek and rope mill parks blankets creek will be closed sunday 12/19/2021 until noon for a private event,1,1
blankets creek is closed for a race until 10pm saturday 8/9 rope mill is open,0,1
all trails are closed for freeze/thaw conditions,0,0
trails at rope mill are open blankets creek is closed due to current hunting activity,0,0
all trails are closed due to extensive storm damage,0,0
all trails are open  trails at rope mill will be closed on 7/14 and 7/15 ,1,1
rope mill is closed due to flooding blankets creek is closed due to wet conditions,0,0
all trails are closed at blankets creek and rope mill for wet conditions,0,0
all trails are open  blankets will be closed saturday 3/28 until noon,1,1
all trails are open at blankets creek and rope mill parks turbine will be closed for maintenance starting tuesday feb 15,1,1
all trails are closed psa ! pedalpalooza has been rescheduled to oct 16,0,0
rope mill is open blankets creek is closed for repairs and will open later today,0,1
all trails are open rope mill will be closed saturday morning  june 10th for a race ,1,1
all trails are open  except mosquito bite,1,1
all trails are open at rope mill and blankets creek the holler is still under assessment ,1,1
all trails are closed due to freeze thaw conditions ,0,0
all trails are closed we will assess tomorrow afternoon ,0,0
all trails are open at blankets creek and rope mill,1,1
all trails are open ,1,1
all trails are closed  ,0,0
all trails are open  except quehl holler,1,1
all trails are open at blankets creek and rope mill blankets will be closed saturday april 2 for a race until early afternoon,1,1
all trails are open except for the holler ,1,1
blankets creek is closed sunday 1/09 for a private event until noon rope mill is open,0,1
all trails are open  dwelling loop will be closed today  6/21  from 5pm-8pm for the time trial ,1,1
all trails are open except qh,1,1
blankets creek is closed until 10pm saturday 8/9 rope mill is open,0,1
all trails are open except quehl holler,1,1
all trails are open - except for quehl holler,1,1
blankets creek is closed due to wet conditions ,0,0
all trails are open kv pass on vmt is temporarily closed,1,1
all trails are open at blankets creek and rope mill (except the holler),1,1
all trails are closed due to wet & freeze thaw conditions,0,0
psa ! starting october 5th the mill trails at rope mill will be closed for maintenance all trails are closed,0,0
all trails are closed for wet conditions,0,0
all trails are closed,0,0
all trails are closed at blankets creek and rope mill parks due to wet conditions,0,0
all trails are closed!  the snow turned to slush all trails closed!,0,0
all trails are closed due to the wet conditions at blankets creek and rope mill,0,0
all trails are open - new trails at rope mill are closed for final work on the entrance,1,1
blankets creek is closed all day 8/13 for the six hour race  taylor randahl is open ,0,0
all trails are closed due to wet conditions ,0,0
all trails are closed ,0,0
all trails are open at blankets creek and rope mill park,1,1
rope mill remains closed all trails are open at blankets creek but look out for a temporary reroute near kv pass on vmt,1,1
all trails are open except for the holler  ,1,1
all trails are open please be on the look out for downed trees and limbs use caution on rock and roll trail due to fresh work,1,1
blankets creek is closed fri  4/8 and sat  4/9 for the dirty duathlon race trmt is open,0,0
all trails are open except quehl holler ,1,1
all trails are closed at blankets creek and rope park parks due to wet conditions,0,0
all trails are open - except quehl holler,1,1
all trails are open!,1,1
all trails are closed due to wet conditions blankets creek will be closed sunday morning for a private event,0,0
all trails are open blankets creek will be closed saturday june 3rd for the 6 hour race,1,1
all trails are open (except the holler),1,1
all trails are open! ,1,1
all trails are closed at blankets creek and rope mill due to wet conditions ,0,0
all trails are open except van michael trail,1,1
all trails are open   (5/6/2017)     ,1,1
all trails are closed at blankets creek and rope mill due to wet conditions,0,0
all trails are closed!,0,0
blankets creek is closed for race rope mill is open,0,1
all trails are open at blankets creek and rope mill parks,1,1
all trails are open except south loop ,1,1
blankets and rope mill trails are closed for freeze/thaw conditions,0,0
all trails are open except the mill,1,1
all trails are closed due to nasty conditions,0,0
all trails are closed due to wet conditions,0,0
blankets creek is closed due to rain,0,0
blankets creek is closed today for a race rope mill is open,0,1
all trails are closed due to extremely dangerous conditions from downed trees and oversaturated ground,0,0
all trails are open,1,1
